Model,R2,RMSE,MAE,n
LR,0.26191191297912053,0.6795448651275934,0.5146418648949252,401
RF,0.5356699398422522,0.5389859413572323,0.4096061886220896,401
BHLR,0.4699330778621714,0.5758765433014464,0.44367463022669207,401
TabPFN,0.7049211201686085,0.429668089060887,0.30050328229741846,401
