Models,North Atlantic,South Atlantic,North Pacific,South Pacific,Indian Ocean,Global
LR,25.34,6.62,70.89,47.45,24.86,171.43
RF,18.51,6.67,32.78,25.44,19.71,102.03
BHLR,47.33,10.58,52.35,80.87,22.41,214.85
